Image,Feature,Value
image 8,90th Percentile Intensity,94.0
image 8,Maximum Intensity,241.0
image 8,Interquartile Range Intensity,50.0
image 8,Intensity Range,1189.0
image 8,Mean Absolute Deviation,69.45191325206424
image 8,Intensity Robust Mean Absolute Deviation,21.547776106291195
image 8,Intensity Median Absolute Deviation,24.0
image 8,Intensity Coefficient Of Variation,11.923043944721119
image 8,Intensity Quartile Coefficient Of Dispersion,0.6097560975609756
image 8,Intensity Energy,105124103.0
image 8,Root Mean Square Intensity,138.8460095840242
image 8,Standard Deviation Intensity,138.36022332257613
image 9,Mean Intensity,-25.140693503387805
image 9,Variance Intensity,35411.05712841503
image 9,Skewness Intensity,-2.9855671618599344
image 9,Kurtosis Intensity,11.676918856088278
image 9,Median Intensity,33.0
image 9,Minimum Intensity,-932.0
image 9,10th Percentile Intensity,-214.29999999999995
image 9,90th Percentile Intensity,77.0
image 9,Maximum Intensity,224.0
image 9,Interquartile Range Intensity,50.0
image 9,Intensity Range,1156.0
image 9,Mean Absolute Deviation,111.74352387205187
image 9,Intensity Robust Mean Absolute Deviation,31.03465940926919
image 9,Intensity Median Absolute Deviation,24.0
image 9,Intensity Coefficient Of Variation,-7.4850066840836735
image 9,Intensity Quartile Coefficient Of Dispersion,0.8620689655172413
image 9,Intensity Energy,180864334.0
image 9,Root Mean Square Intensity,189.85023465417765
image 9,Standard Deviation Intensity,188.1782589153567
image 10,Mean Intensity,-259.5361890694239
image 10,Variance Intensity,88374.25361403417
image 10,Skewness Intensity,-0.5248992294490725
image 10,Kurtosis Intensity,2.1642512941216956
image 10,Median Intensity,-219.5
image 10,Minimum Intensity,-1000.0
image 10,10th Percentile Intensity,-744.9
image 10,90th Percentile Intensity,84.0
image 10,Maximum Intensity,200.0
image 10,Interquartile Range Intensity,473.0
image 10,Intensity Range,1200.0
image 10,Mean Absolute Deviation,252.32094194345112
image 10,Intensity Robust Mean Absolute Deviation,196.19941695381283
image 10,Intensity Median Absolute Deviation,233.5
image 10,Intensity Coefficient Of Variation,-1.1454205119747989
image 10,Intensity Quartile Coefficient Of Dispersion,-1.0305010893246187
image 10,Intensity Energy,632588612.0
image 10,Root Mean Square Intensity,394.63057034486565
image 10,Standard Deviation Intensity,297.2780745598877
image 11,Mean Intensity,-504.6655462184874
image 11,Variance Intensity,98929.2309978109
image 11,Skewness Intensity,0.9844943964623822
image 11,Kurtosis Intensity,2.6933932052755334
image 11,Median Intensity,-614.0
image 11,Minimum Intensity,-914.0
image 11,10th Percentile Intensity,-809.0
image 11,90th Percentile Intensity,110.0
image 11,Maximum Intensity,208.0
image 11,Interquartile Range Intensity,381.25
image 11,Intensity Range,1122.0
image 11,Mean Absolute Deviation,255.3314370454064
image 11,Intensity Robust Mean Absolute Deviation,184.72055091251195
image 11,Intensity Median Absolute Deviation,152.0
image 11,Intensity Coefficient Of Variation,-0.6232447952437602
image 11,Intensity Quartile Coefficient Of Dispersion,-0.3482530258049783
image 11,Intensity Energy,841607376.0
image 11,Root Mean Square Intensity,594.6566610556172
image 11,Standard Deviation Intensity,314.5301750195216
image 12,Mean Intensity,90.36904761904762
image 12,Variance Intensity,7531.391581632654
image 12,Skewness Intensity,-2.851788090580474
image 12,Kurtosis Intensity,12.383636596843713
image 12,Median Intensity,119.0
image 12,Minimum Intensity,-366.0
image 12,10th Percentile Intensity,12.0
image 12,90th Percentile Intensity,148.0
image 12,Maximum Intensity,201.0
image 12,Interquartile Range Intensity,58.25
image 12,Intensity Range,567.0
image 12,Mean Absolute Deviation,55.1849962207105
image 12,Intensity Robust Mean Absolute Deviation,25.79650076439613
image 12,Intensity Median Absolute Deviation,22.5
image 12,Intensity Coefficient Of Variation,0.9603242791141414
image 12,Intensity Quartile Coefficient Of Dispersion,0.27508854781582054
image 12,Intensity Energy,3955885.0
image 12,Root Mean Square Intensity,125.29148554154169
image 12,Standard Deviation Intensity,86.78359050899343
